token	number	frequency
mix	singular	41937
passengers	plural	60954
devotion	singular	80852
philosopher	singular	54302
engines	plural	36385
kid	singular	37384
dawn	singular	101031
scholarship	singular	12269
attraction	singular	34974
assurance	singular	53903
gases	plural	12806
tanks	plural	13153
trunk	singular	67906
rope	singular	98456
incentives	plural	2217
speeches	plural	43898
grandfather	singular	77564
tide	singular	93434
tendencies	plural	22933
boss	singular	27661
invitation	singular	64473
shadows	plural	85603
lamp	singular	94047
prejudice	singular	44122
proceeds	plural	38709
lord	singular	1155030
pitch	singular	51009
weights	plural	15298
meters	plural	5254
consultation	singular	20374
chloride	singular	11401
rod	singular	54249
